name,latitude,longitude,address,zip_code,website,neighborhood
4505 Burgers & BBQ,37.7761896,-122.4382846,"705 Divisadero St, San Francisco, CA 94117",94117,https://www.yelp.com/biz/4505-burgers-and-bbq-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Haight-Ashbury
After Hours,37.74227,-122.49901,"3044 Taraval St, San Francisco, CA 94116",94116,https://www.yelp.com/biz/after-hours-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Parkside/Forest Hill
Aha Fresh,37.751351,-122.432183,"4007 24th St, San Francisco, CA 94114",94114,https://www.yelp.com/biz/aha-fresh-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Castro/Noe Valley
Americano,37.7936245,-122.392733,"8 Mission St, San Francisco, CA 94105",94105,http://www.americanorestaurant.com/info.html,Embarcadero
Bayshore Taqueria,37.74313,-122.40564,"300 Bayshore Blvd Suite A, San Francisco, CA 94124",94124,https://www.yelp.com/biz/bayshore-taqueria-san-francisco,Bayview/Hunters Point
Beachside Coffee Bar & Kitchen,37.760462,-122.508246,"4300 Judah St, San Francisco, CA 94122",94122,https://www.yelp.com/biz/beachside-coffee-bar-and-kitchen-san-francisco,Sunset
Bon Voyage,37.76361,-122.42205,"584 Valencia St, San Francisco, CA 94110",94110,https://www.yelp.com/biz/bon-voyage-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Mission/Bernal Heights
Cafe Reverie,37.766169,-122.449763,"848 Cole St, San Francisco, CA 94117",94117,https://www.yelp.com/biz/cafe-reverie-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Haight-Ashbury
Carmel Pizza Company,37.80759703,-122.4173284,"2826 Jones St, San Francisco, CA 94133",94133,https://www.yelp.com/biz/carmel-pizza-company-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,North Beach/Chinatown
Chicano Nuevo,37.746817,-122.419467,"3158 Mission St, San Francisco, CA 94110",94110,https://www.yelp.com/biz/chicano-nuevo-san-francisco,Inner Mission/Bernal Heights
Counter Offer,37.760254,-122.41723,"800 S Van Ness Ave, San Francisco, CA 94110",94110,https://www.yelp.com/biz/counter-offer-san-francisco,Inner Mission/Bernal Heights
Cracked & Battered,37.76266,-122.39719,"1434 18th St, San Francisco, CA 94107",94107,https://www.yelp.com/biz/cracked-and-battered-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Potrero Hill
Fish,37.868485,-122.497677,"350 Harbor Dr, Sausalito, CA 94965",94965,http://www.331fish.com/,Sausalito/Marin County
Gott's Roadside,37.7958338,-122.393782,"1 Ferry Building Ste 6, San Francisco, CA 94111",94111,https://www.gotts.com/,Embarcadero
Gracias Madre,37.76151,-122.41891,"2211 Mission St, San Francisco, CA 94110",94110,https://www.gracias-madre.com/,Inner Mission/Bernal Heights
Halal Shop,37.721016,-122.477398,"1650 Holloway Ave, San Francisco, CA 94132",94132,https://www.yelp.com/biz/halal-shop-san-francisco-2,Lake Merced
Handy Deli,37.7635545,-122.4774885,"1815 Irving St, San Francisco, CA 94122",94122,https://www.yelp.com/biz/handy-deli-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Sunset
Hayes Pizza,37.773241,-122.450546,"2077 Hayes St, San Francisco, CA 94117",94117,https://www.katanipizza.com/,Haight-Ashbury
Hinodeya Ramen Bar,37.78615746,-122.4300571,"1737 Buchanan St, San Francisco, CA 94115",94115,https://www.yelp.com/biz/hinodeya-ramen-bar-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Western Addition/Japantown
Horsefeather,37.774501,-122.437355,"528 Divisidero St, San Francisco, CA 94117",94117,https://www.yelp.com/biz/horsefeather-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Haight-Ashbury
Java Beach Cafe,37.760451,-122.508931,"1396 La Playa St, San Francisco, CA 94122",94122,http://www.javabeachsf.com/contact/,Sunset
KAIYŌ,37.79801,-122.42967,"1838 Union St, San Francisco, CA 94123",94123,https://www.yelp.com/biz/kaiy%C5%8D-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Marina
Karma Cafe,37.77355,-122.44781,"1901 Hayes St, San Francisco, CA 94117",94117,https://www.karmacafesf.net/,Haight-Ashbury
MaMo,37.80347,-122.43335,"3659 Buchanan St, San Francisco, CA 94123",94123,https://www.mamosf.com/,Marina
Magnolia Dogpatch,37.75778235,-122.3881385,"2505 3rd St, San Francisco, CA 94107",94107,https://www.yelp.com/biz/magnolia-dogpatch-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Potrero Hill
Manitas Cafe,37.77351,-122.45071000000002,"2078 Hayes St, San Francisco, CA 94117",94117,https://www.yelp.com/biz/manitas-cafe-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Haight-Ashbury
Mission Picnic,37.75722,-122.42085,"983 Valencia St, San Francisco, CA 94110",94110,https://www.yelp.com/biz/mission-picnic-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Mission/Bernal Heights
Myriad Gastropub,37.757248,-122.418733,"2491 Mission St, San Francisco, CA 94110",94110,https://www.yelp.com/biz/myriad-gastropub-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Mission/Bernal Heights
NOVY Restaurant,37.75153,-122.43212,"4000 24th St, San Francisco, CA 94114",94114,https://www.yelp.com/biz/novy-restaurant-san-francisco-6?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Castro/Noe Valley
Palm House,37.7975533,-122.4329043,"2032 Union St, San Francisco, CA 94123",94123,https://www.palmhousesf.com/,Marina
Pier 23 Cafe Restaurant & Bar,37.80337120000001,-122.4030857,"The Embarcadero, Pier 23, San Francisco, CA 94102",94102,http://pier23cafe.com/,Hayes
Pizzeria Delfina - Downtown,37.78672,-122.40181,"688 Mission St, San Francisco, CA 94105",94105,https://www.yelp.com/biz/pizzeria-delfina-downtown-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Embarcadero
Roma Antica,37.79989000000001,-122.4408,"3242 Scott St, San Francisco, CA 94123",94123,https://www.yelp.com/biz/roma-antica-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Marina
Rooster & Rice - Castro,37.76085,-122.43365,"4039 18th St, San Francisco, CA 94114",94114,https://www.yelp.com/biz/rooster-and-rice-san-francisco-18?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Castro/Noe Valley
Rose's Cafe,37.79708,-122.436997,"2298 Union St, San Francisco, CA 94123",94123,http://www.rosescafesf.com/,Marina
Saucy Asian,37.762646,-122.43088799999998,"3801 17th St, San Francisco, CA 94114",94114,https://www.saucyasian.com/,Castro/Noe Valley
Sea Breeze Restaurant,37.76063,-122.50458,"3940 Judah St, San Francisco, CA 94122",94122,https://www.yelp.com/biz/sea-breeze-restaurant-san-francisco-2,Sunset
