category,name,latitude,longitude,is_closed,rating,url,review_count,transactions,address,zip_code
seafood,Fog Harbor Fish House,37.809041,-122.410233,False,4.0,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,5891,['restaurant_reservation'],"['Pier 39', 'Ste A-202', 'San Francisco, CA 94133']",94133
ramen,Marufuku Ramen SF,37.785155,-122.432075,False,4.5,https://www.yelp.com/biz/marufuku-ramen-sf-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,2777,[],"['1581 Webster St', 'Ste 235', 'San Francisco, CA 94115']",94115
bars,Liholiho Yacht Club,37.78818,-122.41458,False,4.5,https://www.yelp.com/biz/liholiho-yacht-club-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,2352,['restaurant_reservation'],"['871 Sutter St', 'San Francisco, CA 94109']",94109
newamerican,MaMo,37.80384,-122.43366,False,5.0,https://www.yelp.com/biz/mamo-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,87,['restaurant_reservation'],"['3659 Buchanan St', 'San Francisco, CA 94123']",94123
thai,Farmhouse Kitchen Thai Cuisine,37.7602179,-122.4110749,False,4.0,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,2291,"['delivery', 'pickup', 'restaurant_reservation']","['710 Florida St', 'San Francisco, CA 94110']",94110
korean,um.ma,37.7655,-122.46608,False,4.0,https://www.yelp.com/biz/um-ma-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,239,['restaurant_reservation'],"['1220 9th Ave', 'San Francisco, CA 94122']",94122
peruvian,Limón Rotisserie,37.7570514,-122.416461,False,4.0,https://www.yelp.com/biz/lim%C3%B3n-rotisserie-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,3164,"['pickup', 'restaurant_reservation']","['1001 S Van Ness Ave', 'San Francisco, CA 94110']",94110
korean,Daeho Kalbijjim & Beef Soup,37.78601,-122.42858,False,4.5,https://www.yelp.com/biz/daeho-kalbijjim-and-beef-soup-san-francisco-9?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,632,[],"['1620 Post St', 'San Francisco, CA 94115']",94115
seafood,Scoma's Restaurant,37.808944,-122.418462,False,4.0,https://www.yelp.com/biz/scomas-restaurant-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,3715,['restaurant_reservation'],"['1965 Al Scoma Way', 'San Francisco, CA 94133']",94133
newamerican,Gary Danko,37.80587,-122.42058,False,4.5,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,5492,[],"['800 N Point St', 'San Francisco, CA 94109']",94109
