name,latitude,longitude,address,zip_code,website,neighborhood
1428 HAIGHT Patio Cafe & Crepery,37.77014852,-122.4458685,"1428 Haight St, San Francisco, CA 94117",94117,https://www.yelp.com/biz/1428-haight-patio-cafe-and-crepery-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Haight-Ashbury
20 Spot,37.758340000000004,-122.42036,"3565 20th St, San Francisco, CA 94110",94110,https://www.yelp.com/biz/20-spot-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Mission/Bernal Heights
3rd Cousin,37.73907,-122.41366000000001,"919 Cortland Ave, San Francisco, CA 94110",94110,https://www.yelp.com/biz/3rd-cousin-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Mission/Bernal Heights
4505 Burgers & BBQ,37.7761896,-122.43828459999999,"705 Divisadero St, San Francisco, CA 94117",94117,https://www.yelp.com/biz/4505-burgers-and-bbq-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Haight-Ashbury
5A5 Steak Lounge,37.7969972,-122.40006090000001,"244 Jackson St, San Francisco, CA 94111",94111,https://www.yelp.com/biz/5a5-steak-lounge-san-francisco-4?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Embarcadero
6th and B,37.77745,-122.46373999999999,"452 Balboa St, San Francisco, CA 94118",94118,https://www.yelp.com/biz/6th-and-b-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Richmond
707 Sutter,37.78866165,-122.412151,"707 Sutter St, San Francisco, CA 94109",94109,https://www.yelp.com/biz/707-sutter-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Polk/Russian Hill (Nob Hill)
80 90 Friendship Restaurant & Bar,37.78224,-122.48543000000001,"2428 Clement St, San Francisco, CA 94121",94121,https://www.yelp.com/biz/80-90-friendship-restaurant-and-bar-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Outer Richmond
808 Poke Shack,37.77017011,-122.4119851,"428 11th St, San Francisco, CA 94103",94103,https://www.yelp.com/biz/808-poke-shack-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,South of Market
A Desi Cafe,37.75387,-122.47985,"1501 Noriega St, San Francisco, CA 94122",94122,https://www.yelp.com/biz/a-desi-cafe-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Sunset
A La Turca Restaurant,37.78606,-122.41761299999999,"869 Geary St, San Francisco, CA 94109",94109,https://www.yelp.com/biz/a-la-turca-restaurant-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Polk/Russian Hill (Nob Hill)
a Mano,37.77696388,-122.42386850000001,"450 Hayes St, San Francisco, CA 94102",94102,https://www.yelp.com/biz/a-mano-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Hayes
Abrazo,37.7994,-122.41888,"2000 Hyde St, San Francisco, CA 94109",94109,https://www.yelp.com/biz/abrazo-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Polk/Russian Hill (Nob Hill)
Absinthe Brasserie & Bar,37.77714,-122.42268,"398 Hayes St, San Francisco, CA 94102",94102,https://www.yelp.com/biz/absinthe-brasserie-and-bar-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Hayes
Academy Bar & Kitchen,37.78616845,-122.43322309999999,"1800 Fillmore St, San Francisco, CA 94115",94115,https://www.yelp.com/biz/academy-bar-and-kitchen-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Western Addition/Japantown
Acquolina,37.80061386,-122.40908789999999,"1600 Stockton St, San Francisco, CA 94133",94133,https://www.yelp.com/biz/acquolina-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,North Beach/Chinatown
Aditi Indian Cuisine,37.7552,-122.42078000000001,"1101 Valencia St, San Francisco, CA 94110",94110,https://www.yelp.com/biz/aditi-indian-cuisine-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Mission/Bernal Heights
After Hours,37.74227,-122.49901000000001,"3044 Taraval St, San Francisco, CA 94116",94116,https://www.yelp.com/biz/after-hours-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Parkside/Forest Hill
Aha Fresh,37.751351,-122.43218300000001,"4007 24th St, San Francisco, CA 94114",94114,https://www.yelp.com/biz/aha-fresh-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Castro/Noe Valley
Akira Japanese Restaurant,37.78830576,-122.4243915,"1634 Bush St, San Francisco, CA 94109",94109,https://www.yelp.com/biz/akira-japanese-restaurant-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Polk/Russian Hill (Nob Hill)
Alamo Drafthouse Cinema New Mission,37.756190000000004,-122.41933999999999,"2550 Mission St, San Francisco, CA 94110",94110,https://www.yelp.com/biz/alamo-drafthouse-cinema-new-mission-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Inner Mission/Bernal Heights
Alexander's Steakhouse,37.7793,-122.39568,"448 Brannan St, San Francisco, CA 94107",94107,https://www.yelp.com/biz/alexanders-steakhouse-san-francisco-7?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Potrero Hill
Aliment,37.79012,-122.41018999999999,"786 Bush St, San Francisco, CA 94108",94108,https://www.yelp.com/biz/aliment-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Chinatown
Alioto's Restaurant,37.808679,-122.416105,"8 Fishermans Wharf, San Francisco, CA 94133",94133,https://www.yelp.com/biz/aliotos-restaurant-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,North Beach/Chinatown
