category,name,latitude,longitude,is_closed,rating,image_url,review_count,transactions,region
seafood,Fog Harbor Fish House,37.809041,-122.410233,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/Lv7tIRX3Bim9bKqtWifmNg/o.jpg,5871,['restaurant_reservation'],region
ramen,Marufuku Ramen SF,37.785155,-122.432075,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/2lUFO5HWD7_RLDWlT5Nvuw/o.jpg,2757,[],region
thai,Farmhouse Kitchen Thai Cuisine,37.7602179,-122.4110749,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/woO06sua7uMQNBf0wnjf8w/o.jpg,2279,"['pickup', 'delivery', 'restaurant_reservation']",region
korean,um.ma,37.7655,-122.46608,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/9ILbI4cYVyeuVnTi4kGzjA/o.jpg,231,['restaurant_reservation'],region
newamerican,MaMo,37.80384,-122.43366,False,5.0,https://s3-media2.fl.yelpcdn.com/bphoto/O507g56iRMksc_6K7avpww/o.jpg,86,['restaurant_reservation'],region
cajun,Voodoo Love,37.7717904,-122.416668876,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/U4WIkb6PmIDztoOWUoQqWg/o.jpg,44,"['pickup', 'delivery', 'restaurant_reservation']",region
bars,Liholiho Yacht Club,37.78818,-122.41458,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/FK2X98w6z5naJyiQjsGTNA/o.jpg,2339,['restaurant_reservation'],region
korean,Daeho Kalbijjim & Beef Soup,37.78601,-122.42858,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/LaFYy38ZDs39NsqIm6Wz4g/o.jpg,617,[],region
peruvian,Limón Rotisserie,37.7570514,-122.416461,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/wvbMWakjpf0c-0QeucFl9Q/o.jpg,3160,"['pickup', 'restaurant_reservation']",region
dimsum,Dumpling House,37.763552,-122.432762,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/MoFIRGwljosSEWWQi_JFHg/o.jpg,117,[],region
chickenshop,The Bird,37.78724,-122.39995,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/swsVh8zitzh6gipKB4zaUA/o.jpg,1672,[],region
mediterranean,Noosh,37.7880771447147,-122.43393894285,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/htZmQ5FmRZjYRujcb2T_WA/o.jpg,287,[],region
burmese,Burma Superstar,37.782787322998,-122.462539672852,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/CQljYYJrIWarCxsz02s-7A/o.jpg,6705,[],region
dimsum,Dumpling Time,37.7697533,-122.4022546,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/LpVJS1JQ5thyPRCT99mMCQ/o.jpg,1731,"['pickup', 'delivery']",region
mexican,Tacorea,37.7897794,-122.410717,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/xJUH-UAXBuIEub6HbxPKFQ/o.jpg,1630,[],region
seafood,Scoma's Restaurant,37.808944,-122.418462,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/5ZqAdIz1IhUDlmK6qP3WvA/o.jpg,3703,['restaurant_reservation'],region
