neighborhood,wc_count,dog_count,both_count
South of Market,106,17,1
Inner Mission/Bernal Heights,101,35,7
Hayes,88,14,3
Polk/Russian Hill (Nob Hill),78,14,0
Embarcadero,75,14,5
North Beach/Chinatown,66,20,3
Potrero Hill,59,18,3
Haight-Ashbury,53,28,7
Sunset,49,17,4
Inner Richmond,48,10,0
Marina,42,22,6
Chinatown,40,12,0
Western Addition/Japantown,36,9,1
Outer Richmond,32,8,0
Castro/Noe Valley,29,24,5
Parkside/Forest Hill,18,1,1
Ingelside/Excelsior/Crocker-Amazon,15,1,0
Bayview/Hunters Point,12,2,1
Lake Merced,12,1,1
St. Francis Wood/Miraloma/West Portal,11,4,0
Mission Bay,9,4,0
Sausalito/Marin County,4,17,1
Twin Peaks/Glen Park,4,1,0
Presidio,4,2,1
Daly City,3,10,0
Tiburon,2,2,0
Treasure Island,2,1,0
Portola/Visitacion Valley,1,0,0
Paradise Valley/South SF,1,5,0
Alameda,0,19,0
Berkeley,0,10,0
Mill Valley,0,9,0
Emeryville,0,7,0
Richmond (City),0,4,0
Oakland,0,4,0
Burlingame,0,3,0
Sacramento,0,1,0
Pacifica,0,1,0
