name,latitude,longitude,address,zip_code,website,neighborhood
10th & Wood,37.810344,-122.30266429999999,"945 Wood St, Oakland, CA 94607-1311",94607,http://10thandwood.com/,Oakland
4505 Burgers & BBQ,37.77620770000001,-122.4403973,"705 Divisadero St, San Francisco, CA 94117",94117,http://www.4505burgersandbbq.com/,Haight-Ashbury
7 Mile House Sports Bar & Grill,37.704322399999995,-122.4074595,"2800 Bayshore Blvd, Brisbane, CA 94005",94005,http://www.7milehouse.com/,Daly City
a Mano,37.7768993,-122.4240297,"450 Hayes St, San Francisco, CA 94102",94102,https://amanosf.com/,Hayes
Absinthe,37.776995,-122.42288500000001,"398 Hayes St, San Francisco, CA 94102",94102,http://www.absinthe.com/,Hayes
Acme Bar & Company,37.8676684,-122.29194220000001,"2115 San Pablo Ave, Berkeley, CA 94702",94702,http://www.acmebarandcompany.com/,Berkeley
After Hours,37.742,-122.49891000000001,"3044 Taraval St, San Francisco, CA 94116",94116,https://www.yelp.com/biz/after-hours-san-francisco-2,Parkside/Forest Hill
Aha Fresh,37.751459999999994,-122.43298999999999,"4007 24th St, San Francisco, CA 94114",94114,https://www.yelp.com/biz/aha-fresh-san-francisco,Castro/Noe Valley
Alamo Square Cafe,37.7760343,-122.4314537,"711 Fillmore Street, San Francisco, CA 94117",94117,https://www.facebook.com/AlamoSquareCafe/,Haight-Ashbury
Alioto's Waterside Cafe,37.8086312,-122.4160193,"7 Fishermans Wharf, San Francisco, CA 94133",94133,http://sfwatersidecafe.com/,North Beach/Chinatown
Amal’s Deli,37.770277,-122.445742,"1416 Haight St, San Francisco, CA 94117",94117,https://www.yelp.com/biz/amals-deli-san-francisco,Haight-Ashbury
Americano,37.7936245,-122.392733,"8 Mission St, San Francisco, CA 94105",94105,http://www.americanorestaurant.com/info.html,Embarcadero
Amitis Café ,37.77385,-122.44583,"800 Masonic Ave, San Francisco, CA 94117",94117,http://www.amitisdelisf.com/,Haight-Ashbury
Anchorage 5,37.869234000000006,-122.49936100000001,"475 Gate 5 Rd, Sausalito, CA 94965",94965,http://www.anchorage5.com,Sausalito/Marin County
Angelina's Deli Cafe,37.784224,-122.48198700000002,"6000 California St, San Francisco, CA 94121",94121,http://www.angelinascatering.net/Deli.php,Outer Richmond
